poi_id,KG_id,Region_id
POI/663155,0,47
POI/669727,2,94
POI/418849,4,211
POI/245,6,224
POI/246,8,224
POI/358,9,233
POI/405,11,45
POI/407,13,45
POI/408,14,209
POI/442,16,13
POI/447,18,166
POI/475,20,233
POI/495,21,224
POI/496,22,224
POI/497,23,224
POI/498,24,224
POI/499,25,224
POI/507,26,161
POI/521,28,142
POI/526,30,170
POI/533,32,33
POI/612,34,48
POI/613,36,164
POI/619,38,164
POI/620,39,164
POI/625,40,48
POI/626,41,48
POI/629,42,50
POI/636,44,113
POI/659,46,142
POI/663,47,230
POI/673,49,230
POI/674,50,230
POI/681,51,246
POI/687,53,161
POI/850,54,150
POI/956,56,238
POI/1212,58,55
POI/1242,60,55
POI/1307,61,123
POI/1334,63,55
POI/1342,64,210
POI/1347,66,55
POI/1473,67,256
POI/2701,69,256
POI/2702,70,256
POI/4539,71,89
POI/4565,73,89
POI/4567,74,89
POI/4574,75,89
POI/4592,76,89
POI/6737,77,22
POI/6779,79,22
POI/6855,80,22
POI/6857,81,22
POI/6877,82,22
POI/6885,83,22
POI/6930,84,22
POI/6932,85,22
POI/6936,86,22
POI/6961,87,22
POI/6967,88,22
POI/6973,89,22
POI/6992,90,22
POI/7011,91,22
POI/7090,92,22
POI/7097,93,22
POI/7099,94,22
POI/7125,95,22
POI/7160,96,22
POI/7164,97,22
POI/7173,98,22
POI/7209,99,22
POI/8433,100,79
POI/8435,102,79
POI/8438,103,79
POI/8439,104,79
POI/8441,105,79
POI/8443,106,79
POI/8445,107,79
POI/8446,108,79
POI/8448,109,79
POI/8450,110,79
POI/8451,111,89
POI/8452,112,79
POI/8454,113,79
POI/8455,114,79
POI/8457,115,79
POI/8459,116,79
POI/8460,117,79
POI/8462,118,79
POI/8464,119,79
POI/8466,120,79
POI/8468,121,79
POI/8470,122,79
POI/8471,123,79
POI/8473,124,79
POI/8475,125,79
POI/8476,126,79
POI/8478,127,79
POI/8480,128,79
POI/8481,129,89
POI/8482,130,79
POI/8483,131,79
POI/8485,132,79
POI/8487,133,79
POI/8489,134,79
POI/8491,135,79
POI/8492,136,79
POI/8493,137,79
POI/8495,138,79
POI/8497,139,89
POI/8498,140,79
POI/8499,141,89
POI/8500,142,79
POI/8501,143,79
POI/8502,144,89
POI/8503,145,79
POI/8504,146,89
POI/8505,147,79
POI/8507,148,79
POI/8508,149,89
POI/8509,150,79
POI/8510,151,79
POI/8511,152,79
POI/8513,153,79
POI/8515,154,79
POI/8516,155,89
POI/8517,156,79
POI/8518,157,79
POI/8520,158,79
POI/8522,159,79
POI/8526,160,79
POI/8528,161,89
POI/8529,162,79
POI/8531,163,79
POI/8533,164,79
POI/8535,165,89
POI/8536,166,79
POI/8537,167,89
POI/8538,168,79
POI/8539,169,89
POI/8540,170,79
POI/8541,171,89
POI/8542,172,79
POI/8544,173,79
POI/8546,174,79
POI/8547,175,79
POI/8549,176,79
POI/8551,177,79
POI/8553,178,79
POI/8554,179,79
POI/8555,180,79
POI/8557,181,79
POI/8558,182,89
POI/8559,183,79
POI/8561,184,79
POI/8563,185,79
POI/8566,186,79
POI/8567,187,89
POI/8568,188,79
POI/8570,189,79
POI/8572,190,79
POI/8574,191,79
POI/8575,192,79
POI/8576,193,79
POI/8579,194,79
POI/8581,195,79
POI/8585,196,79
POI/8587,197,79
POI/8589,198,79
POI/8590,199,79
POI/8592,200,79
POI/8593,201,89
POI/8594,202,79
POI/8595,203,79
POI/8597,204,79
POI/8598,205,79
POI/8599,206,79
POI/8600,207,79
POI/8601,208,79
POI/8604,209,79
POI/8605,210,79
POI/8606,211,79
POI/8607,212,79
POI/8608,213,79
POI/8610,214,79
POI/8611,215,79
POI/8620,216,33
POI/8640,217,33
POI/8646,218,33
POI/8685,219,33
POI/8688,220,33
POI/8702,221,33
POI/8711,222,33
POI/8732,223,33
POI/8782,224,33
POI/8786,225,33
