region_id,KG_id
Area/47,1
Area/94,3
Area/211,5
Area/224,7
Area/233,10
Area/45,12
Area/209,15
Area/13,17
Area/166,19
Area/161,27
Area/142,29
Area/170,31
Area/33,33
Area/48,35
Area/164,37
Area/50,43
Area/113,45
Area/230,48
Area/246,52
Area/150,55
Area/238,57
Area/55,59
Area/123,62
Area/210,65
Area/256,68
Area/89,72
Area/22,78
Area/79,101
Area/49,243
Area/21,297
Area/97,312
Area/255,540
Area/189,562
Area/181,568
Area/52,738
Area/25,741
Area/76,744
Area/134,747
Area/197,751
Area/191,753
Area/114,838
Area/122,1285
Area/131,1354
Area/144,1619
Area/61,1629
Area/17,1679
Area/225,1692
Area/165,1733
Area/148,1735
Area/28,1741
Area/137,2019
Area/234,2021
Area/90,2024
Area/186,2026
Area/65,2032
Area/40,2051
Area/249,2058
Area/195,2071
Area/228,2073
Area/130,2086
Area/121,2365
Area/135,2368
Area/14,2422
Area/29,2571
Area/175,2923
Area/92,3669
Area/129,3671
Area/196,3955
Area/108,3957
Area/75,4599
Area/74,4601
Area/11,4680
Area/162,4766
Area/26,4791
Area/227,4794
Area/133,4797
Area/106,4813
Area/107,4819
Area/4,5005
Area/125,5114
Area/158,5116
Area/231,5156
Area/149,5237
Area/36,5506
Area/37,5510
Area/155,5564
Area/39,5618
Area/177,6020
Area/71,6700
Area/85,6706
Area/188,6711
Area/62,6716
Area/232,7121
Area/66,7551
Area/198,7836
Area/95,9444
Area/56,9462
Area/82,9483
Area/160,9516
Area/102,9603
Area/143,9605
Area/163,9609
Area/140,9628
Area/68,9655
Area/237,10150
Area/229,10192
Area/41,10289
Area/141,10316
Area/236,10669
Area/239,10838
Area/151,10919
Area/24,10989
Area/42,11144
Area/116,11159
Area/152,11175
Area/244,11198
Area/243,11217
Area/127,11367
Area/153,11422
Area/168,11424
Area/18,11436
Area/169,11438
Area/174,11446
Area/241,11448
Area/220,11452
Area/200,11461
Area/87,11474
Area/80,11710
Area/112,11790
Area/226,11796
Area/83,11798
Area/7,11801
Area/179,11813
Area/146,11816
Area/145,11823
Area/213,11830
Area/216,11833
Area/215,11844
Area/205,11846
Area/19,11878
Area/16,11882
Area/73,11886
Area/192,11933
Area/15,11935
Area/248,11942
Area/202,11945
Area/124,11948
Area/54,12279
Area/167,12352
Area/217,12405
Area/23,12437
Area/221,12443
Area/201,12506
Area/235,12641
Area/53,12660
Area/27,12665
Area/250,12673
Area/172,12679
Area/187,12717
Area/118,12719
Area/64,12773
Area/204,12778
Area/84,12780
Area/109,12783
Area/178,12823
Area/100,12956
Area/159,13029
Area/254,13037
Area/157,13062
Area/171,13081
Area/252,13085
Area/46,13088
Area/20,13090
Area/44,13233
Area/245,13236
Area/214,13238
Area/101,13241
Area/67,13277
Area/69,13443
Area/81,13461
Area/183,13463
Area/38,13471
Area/9,13483
Area/132,13489
Area/136,13496
Area/34,13510
Area/139,13517
Area/60,13528
Area/223,13713
Area/173,13750
Area/70,13772
Area/203,13780
Area/138,13786
Area/35,13792
Area/10,13814
Area/6,13842
Area/3,13856
Area/206,13864
Area/126,13868
Area/156,13875
Area/190,13950
Area/91,14023
Area/119,14062
Area/78,14067
Area/5,14110
Area/51,14152
Area/98,14157
Area/57,14182
Area/43,14263
Area/128,14267
Area/247,14269
Area/93,14272
Area/194,14276
Area/31,14294
Area/154,14304
Area/72,14348
Area/147,14393
Area/242,14415
Area/86,14427
Area/88,14562
Area/193,14568
Area/180,14576
Area/117,14630
Area/115,14633
Area/58,20806
Area/176,21772
Area/30,21778
Area/99,21959
Area/77,22174
Area/105,22224
Area/218,23069
Area/63,23265
Area/240,24281
Area/199,24325
Area/212,24390
Area/219,24422
Area/251,24534
Area/110,24570
Area/222,25080
Area/32,25591
Area/185,25596
Area/182,25600
Area/208,25604
Area/96,26773
Area/184,27184
Area/12,27530
Area/111,28747
Area/8,29921
Area/253,30571
Area/2,31959
Area/120,63693
Area/59,112283
Area/207,127811
Area/259,179572
Area/257,236065
Area/258,236066
Area/260,236067
Area/261,236068
Area/262,236069
Area/263,236070
