road_id,KG_id,Region_id
Road/191754,62700,64
Road/191753,62701,254
Road/191752,62702,61
Road/191751,62703,82
Road/191750,62704,72
Road/191748,62705,29
Road/191747,62706,55
Road/191746,62707,112
Road/191742,62708,55
Road/191741,62709,29
Road/191740,62710,29
Road/191739,62711,29
Road/191737,62712,16
Road/191736,62713,155
Road/191734,62714,168
Road/191732,62715,36
Road/191730,62716,6
Road/191729,62717,118
Road/191728,62718,29
Road/191727,62719,29
Road/191726,62720,29
Road/191725,62721,29
Road/191724,62722,29
Road/191722,62723,182
Road/191721,62724,135
Road/191720,62725,229
Road/191719,62726,233
Road/191718,62727,233
Road/191717,62728,141
Road/191715,62729,116
Road/191714,62730,137
Road/191713,62731,137
Road/191711,62732,48
Road/191709,62733,68
Road/191708,62734,48
Road/191707,62735,48
Road/191706,62736,48
Road/191704,62737,151
Road/191703,62738,151
Road/191702,62739,238
Road/191701,62740,238
Road/191700,62741,238
Road/191699,62742,238
Road/191696,62743,233
Road/191695,62744,195
Road/191694,62745,93
Road/191692,62746,93
Road/191691,62747,93
Road/191685,62748,204
Road/191684,62749,168
Road/191683,62750,254
Road/191681,62751,156
Road/191680,62752,244
Road/191679,62753,125
Road/191678,62754,86
Road/191676,62755,212
Road/191673,62756,187
Road/191672,62757,187
Road/191671,62758,93
Road/191670,62759,196
Road/191664,62760,127
Road/191663,62761,63
Road/191662,62762,64
Road/191661,62763,64
Road/191660,62764,19
Road/191659,62765,208
Road/191658,62766,173
Road/191657,62767,253
Road/191656,62768,232
Road/191655,62769,148
Road/191645,62770,238
Road/191644,62771,205
Road/191643,62772,39
Road/191642,62773,249
Road/191641,62774,50
Road/191640,62775,182
Road/191634,62776,169
Road/191632,62777,148
Road/191630,62778,42
Road/191629,62779,11
Road/191628,62780,11
Road/191627,62781,74
Road/191623,62782,7
Road/191622,62783,148
Road/191621,62784,228
Road/191620,62785,197
Road/191619,62786,233
Road/191618,62787,238
Road/191616,62788,181
Road/191615,62789,34
Road/191614,62790,34
Road/191612,62791,226
Road/191610,62792,76
Road/191609,62793,141
Road/191608,62794,222
Road/191607,62795,135
Road/191606,62796,23
Road/191604,62797,14
Road/191603,62798,223
Road/191602,62799,240
Road/191601,62800,232
Road/191599,62801,23
Road/191598,62802,70
Road/191596,62803,192
Road/191595,62804,192
Road/191594,62805,203
Road/191589,62806,93
Road/191588,62807,76
Road/191587,62808,75
Road/191586,62809,79
Road/191585,62810,79
Road/191584,62811,61
Road/191583,62812,177
Road/191580,62813,93
Road/191579,62814,93
Road/191576,62815,119
Road/191572,62816,138
Road/191570,62817,14
Road/191569,62818,155
Road/191568,62819,213
Road/191566,62820,168
Road/191565,62821,97
Road/191564,62822,234
Road/191559,62823,79
Road/191558,62824,45
Road/191556,62825,74
Road/191554,62826,242
Road/191553,62827,173
Road/191552,62828,192
Road/191549,62829,97
Road/191548,62830,182
Road/191547,62831,70
Road/191545,62832,74
Road/191544,62833,240
Road/191543,62834,240
Road/191542,62835,240
Road/191537,62836,31
Road/191536,62837,3
Road/191531,62838,177
Road/191529,62839,92
Road/191528,62840,173
Road/191525,62841,119
Road/191524,62842,64
Road/191522,62843,249
Road/191521,62844,249
Road/191520,62845,77
Road/191519,62846,166
Road/191516,62847,47
Road/191515,62848,76
Road/191514,62849,10
Road/191513,62850,180
Road/191512,62851,180
Road/191511,62852,180
Road/191509,62853,132
Road/191506,62854,130
Road/191504,62855,98
Road/191503,62856,169
Road/191502,62857,44
Road/191501,62858,98
Road/191490,62859,45
Road/191486,62860,75
Road/191479,62861,53
Road/191478,62862,53
Road/191477,62863,53
Road/191474,62864,19
Road/191472,62865,203
Road/191471,62866,203
Road/191470,62867,16
Road/191469,62868,92
Road/191468,62869,16
Road/191467,62870,16
Road/191466,62871,16
Road/191465,62872,16
Road/191464,62873,16
Road/191463,62874,92
Road/191462,62875,15
Road/191461,62876,15
Road/191460,62877,179
Road/191456,62878,196
Road/191455,62879,129
Road/191454,62880,56
Road/191453,62881,102
Road/191452,62882,102
Road/191451,62883,129
Road/191450,62884,129
Road/191449,62885,217
Road/191448,62886,83
Road/191446,62887,223
Road/191445,62888,64
Road/191444,62889,64
Road/191443,62890,129
Road/191442,62891,173
Road/191436,62892,49
Road/191435,62893,22
Road/191432,62894,172
Road/191428,62895,151
Road/191427,62896,151
Road/191426,62897,159
Road/191418,62898,66
Road/191415,62899,126
Road/191414,62900,168
Road/191413,62901,74
Road/191411,62902,76
Road/191407,62903,152
Road/191405,62904,148
Road/191404,62905,45
Road/191389,62906,232
Road/191388,62907,74
Road/191387,62908,66
Road/191385,62909,66
Road/191380,62910,66
Road/191378,62911,168
Road/191375,62912,238
Road/191374,62913,181
Road/191373,62914,11
Road/191371,62915,11
Road/191370,62916,40
Road/191368,62917,170
Road/191367,62918,68
Road/191365,62919,224
Road/191364,62920,18
Road/191347,62921,75
Road/191346,62922,220
Road/191344,62923,220
Road/191342,62924,60
Road/191338,62925,16
Road/191337,62926,9
Road/191336,62927,16
Road/191335,62928,9
Road/191332,62929,168
Road/191330,62930,63
Road/191328,62931,95
Road/191327,62932,129
Road/191326,62933,127
Road/191325,62934,191
Road/191322,62935,22
Road/191320,62936,17
Road/191319,62937,108
Road/191317,62938,82
Road/191316,62939,212
Road/191314,62940,248
Road/191311,62941,74
Road/191310,62942,18
Road/191309,62943,248
Road/191306,62944,156
Road/191298,62945,240
Road/191290,62946,138
Road/191288,62947,74
Road/191286,62948,74
Road/191284,62949,129
Road/191281,62950,248
Road/191279,62951,182
Road/191278,62952,150
Road/191274,62953,141
Road/191273,62954,141
Road/191272,62955,138
Road/191267,62956,210
Road/191264,62957,31
Road/191260,62958,132
Road/191258,62959,121
Road/191256,62960,121
Road/191254,62961,128
Road/191253,62962,181
Road/191252,62963,181
Road/191251,62964,138
Road/191250,62965,138
Road/191249,62966,138
Road/191248,62967,138
Road/191247,62968,95
Road/191242,62969,229
Road/191241,62970,173
Road/191240,62971,31
Road/191231,62972,16
Road/191230,62973,11
Road/191229,62974,226
Road/191225,62975,114
Road/191223,62976,70
Road/191222,62977,93
Road/191221,62978,93
Road/191218,62979,170
Road/191217,62980,170
Road/191206,62981,130
Road/191203,62982,191
Road/191202,62983,74
Road/191201,62984,79
Road/191200,62985,79
Road/191199,62986,79
Road/191194,62987,138
Road/191192,62988,138
Road/191191,62989,170
Road/191188,62990,138
Road/191187,62991,136
Road/191186,62992,96
Road/191185,62993,96
Road/191182,62994,142
Road/191178,62995,139
Road/191173,62996,194
Road/191164,62997,229
Road/191163,62998,64
Road/191162,62999,64
Road/191161,63000,64
Road/191160,63001,64
Road/191159,63002,64
Road/191157,63003,19
Road/191156,63004,226
Road/191150,63005,173
Road/191149,63006,19
Road/191146,63007,48
Road/191145,63008,23
Road/191144,63009,80
Road/191142,63010,11
Road/191141,63011,117
Road/191136,63012,23
Road/191134,63013,247
Road/191131,63014,155
Road/191130,63015,150
Road/191126,63016,130
Road/191125,63017,95
Road/191124,63018,92
Road/191122,63019,86
Road/191121,63020,107
Road/191118,63021,131
Road/191117,63022,180
Road/191116,63023,39
Road/191115,63024,222
Road/191114,63025,69
Road/191113,63026,218
Road/191112,63027,102
Road/191111,63028,102
Road/191108,63029,32
Road/191107,63030,208
Road/191104,63031,33
Road/191103,63032,221
Road/191102,63033,221
Road/191100,63034,221
Road/191098,63035,192
Road/191095,63036,96
Road/191094,63037,96
Road/191092,63038,191
Road/191090,63039,55
Road/191089,63040,139
Road/191088,63041,139
Road/191087,63042,139
Road/191086,63043,139
Road/191081,63044,147
Road/191078,63045,92
Road/191076,63046,92
Road/191075,63047,65
Road/191074,63048,150
Road/191073,63049,84
Road/191072,63050,242
Road/191068,63051,93
Road/191067,63052,93
Road/191066,63053,92
Road/191065,63054,49
Road/191063,63055,82
Road/191058,63056,206
Road/191055,63057,6
Road/191054,63058,101
Road/191053,63059,108
Road/191049,63060,173
Road/191047,63061,64
Road/191046,63062,170
Road/191045,63063,231
Road/191043,63064,86
Road/191042,63065,196
Road/191040,63066,44
Road/191039,63067,141
Road/191035,63068,15
Road/191034,63069,191
Road/191033,63070,191
Road/191032,63071,191
Road/191031,63072,117
Road/191030,63073,117
Road/191028,63074,117
Road/191027,63075,95
Road/191026,63076,112
Road/191025,63077,99
Road/191023,63078,99
Road/191022,63079,23
Road/191021,63080,69
Road/191020,63081,69
Road/191019,63082,256
Road/191015,63083,95
Road/191014,63084,214
Road/191011,63085,214
Road/191008,63086,206
Road/191007,63087,206
Road/191005,63088,173
Road/191002,63089,109
Road/191001,63090,109
Road/191000,63091,118
Road/190998,63092,23
Road/190996,63093,23
Road/190991,63094,214
