functional_zone_id,area_id,poi_ids
1,47,"662618,662620,662622,662642,662643,662644,662645,662646,1075565,1076475,1076476,1076477"
2,47,"662607,663089,663130,666273,667131,666153,666154,1161248,1187649"
3,47,"662630,663170,667086,667426"
4,94,"667643,669170,669199,669584"
5,211,"418849,189362,322460,418828,418912,418915,418976,418993,1073887,1074349,418940"
6,211,"189448,418876,189462,418914"
7,211,"418980,621514,1074344"
8,224,"245,246,495,496,497,498,499,539583,539587,539588,699421,699422,699423,699426,699427,699428,699429,699430,699431,699432,699433,699434,699435,699436,699437,699439,699440,699441,699442,699443,699444,699445,699447,699448,699449,699450,699451,699452,699453,699454,699455,699456,699457,699458,699459,699460,699461,699462,699463,699465,699466,699467,1072185,1072186,1072187,1072188"
9,224,"539584,539585,539589,539590,539591,539593,539594,539595,539596,539597,539598,539600,539601,539602,539604,539605,539606,539586"
10,224,"539607,699424,699425,699438,699446,699464,699468"
11,224,"1078985,539592,539599"
12,224,"610682,1161396,1161397,1161398,1161399,1161400,1161401,1161402,1161403,1161404,1161405,1161406,1161407,1161408,1161409,1161410,1161411,1161412,1161413,1161414,1161415,1161416,1161417,1161418,1161419,1161420,1161421,1161422,1161423,1161424,1161425,1161426,1161434,1161435,1161436,1161437,1161438,1161439,1161440,1161441,1161442,1161443,1161444,1161445,1161446,1161447,1161448,1161449,1161450,1161451,1161452,1161453,1161454,1161455,1161456,1161457,1161471,1161472,1161473,1161474,1161475,1161476,1161477,1161478,1161479,1161480,1161481,1161482,1161483,1161484,1161485,1161486,1161487,1161488,1161489,1161490,1161491,1161492,1161493,1161494,1161495,1161496,1161497,1161498,1161499,1161500,1161501,1161502,1161503,1161504,1161505,1161506,1161507,1161508,1161509,1161510,1161511,1161512,1161513,1161514,1161515,1161516,1161517,1161518,1161519,1161520,1161521,1161522,1161523,1161524,1161525,1161526,1161527,1161528,1161529,1161530,1161531,1161532,1161533,1176929,1176930"
13,233,"358,475,625971,625998,626001,626002,626004,626013,626015,626024,626025,626035,626037,626039,626058,626072,626074,626091,626106,626122,627155,627160,627171,627251,699539,699555,699568,627247,625993"
14,233,"626030,626104,626116,1075304"
15,233,"778434,82,1075290,1075306,1075307,1076741,1111113"
16,233,"699560,515,624,641,627189"
17,233,"626063,1079072,626064,626102"
18,233,"1075285,1075286,1075287,1075288,1075289,1075291"
19,45,"405,407,698142,698262,698263,698264,698276,698281,698283,698291,698292,698293,698295,698297,698300,1190108,1161155"
20,45,"452595,698259,698277,698280,698421,698256"
21,45,"698143,698278,698282,1190523,1191657,1191658,406,452593,452594,698288,1190524"
22,45,"698255,698279,1191659,698412,1076437,1100328"
23,45,"638,669,670,671,672,33992,33993,1073770,1073900,1073901,1076438,1166510"
24,209,"408,698089,698090,698095,698096,1072279,1072280,1072281,1072283,1073671,1074317,1073589"
25,209,"698088,1191655,698141,1166513"
26,209,"697916,697933,683,1081537,1081673"
27,13,"442,587189,587192,697351,697570,697578,697587,697588,697830"
28,13,"587182,587191,697826"
29,166,"447,641501,641504,641509,641510,641511,641512,641513,641514,641515,641517,641520,641521,641522,641523,641524,641525,641527,641528,641530,641531,641532,641582,648381,648385,648386,648387,648388,648442,648444,648483,648487,648761,648813,648827,648908,699620,1076778,1081246,1111071,1191121,1191122,1191123,1191124,1191125,1191126,1191127,1191284,1191288,1191294,1191310,1191311,641535,641588,648468,648874,1111112,1191129,1191133,1191306,1075442,648860,648456"
30,166,"1191120,648856,648905,647507,648895,451"
31,166,"641529,647466,689,648375,1114877"
32,166,"648779,648389,1147060,1147061,1147062,1147063,1147064,1147065,1147272,1147379"
33,166,"641536,647463,647407"
34,166,"641507,1111368,644051,1081320"
35,166,"641491,648417,648439,648760,648893,1111102,648493,648498,648499,648862,648863,648865,648867,648868,648869,648870,648872,648873,648875,648876,648877,648878,648879,648886,648887,648890,648891,648892,648896,648897,648898,648899,648900,648901,1075898,1113531,1191309,1192071,641503,648370,648851,648864,54,448,449,450,1074191,1075897,1111069,1111813"
36,166,"1111116,1114882,1188729"
37,161,"507,687,610801,621893,658,680,627861,627866,628041,628052,1072316"
38,161,"627497,621880,699579,627458"
39,161,"61,241,242,400,402,420,421,422,491,493,494,616,640,646,653,654,678,1172,610767,610775,610776,610777,610782,625263,625293,627413,627465,627469,627471,627493,627496,627500,627505,627509,627511,627533,627539,627541,627543,627942,627998,628062,628074,628081,628092,628093,628114,628115,629698,699577,1077800,1190103,627891"
40,142,"521,659,10810,610822,610823,624442,624443,624445,624448,624451,624814,624815,624819,624821,624824,624826,624828,624830,635382,635385,635387,635389,635390,635391,635398,635399,635400,635401,635402,635405,635407,635408,635413,635414,635419,635420,635424,635443,635444,635445,635448,635451,635452,635453,635457,635459,635465,635466,635476,635479,635480,635537,635538,635539,635541,635542,635590,635652,635687,635688,635722,635723,635725,635729,635730,635908,635910,635913,635915,635947,635957,635958,635961,635964,635967,635971,635986,635994,635997,636001,636002,636003,636006,636016,636045,636046,636052,636100,636106,636147,636148,1072323,1073806,1190101,1190988,1190993,624816,635974"
41,142,"635404,635478,635690,628,624825,635426,635435,635477,635540"
42,142,"624833,624827,624832,635383,635481,624446,624447,624449,624813,624817,624822,635434,635418,376,1187764"
43,142,"635417,635423,636095"
44,142,"377,1103022,1145072,1145894"
45,170,"526,200232,200235,621444,621453,621666,622705,622708,624978,625040,625042,625045,625046,625066,625113,625224,625232,627094,627105,627106,627121,627123,627138,627170,699525,699526,699529,699534,699554,699561,778435,622594,625231,627091"
46,170,"621442,621629,625229,699535,200148,622684,625127"
47,170,"466,625271,627341,627345,622669,627299"
48,170,"417,639,644,645"
49,170,"474,622694,1135682"
50,170,"200162,622679,1252,1075445,1182897"
51,33,"533,8620,8640,8646,8685,8688,8702,8711,8732,8782,8786,8819,8829,8839,8898,8928,8932,8934,8936,8952,8954,8956,8959,9012,9025,9044,9047,9343,9371,9375,9428,10752,10753,10754,10798,15618,15619,15620,15624,15625,15626,15627,15630,15636,15638,15646,15653,15655,15667,15669,15675,15681,15682,15686,15692,15696,15698,15701,15708,15712,15714,15715,15717,15719,15722,15724,15727,15728,15730,18151,18158,18165,18169,18172,18179,18184,18187,18271,18276,18280,20682,20727,20733,20755,20760,20766,20849,24452,27560,42683,42711,42845,1083721,1117306,1173701,1176604,1183634,1190130,1190138,9386,42833,8963,8980,8986,8989,8995,8996,9001,9005,9014,9015,27525,27534,27537,532,9615,9616,9623,9624,9638,9659,9669,9670,9678,9680,198765,198810"
52,33,"15615,20846,27550,198786,8960,10757,15614,15642,15726,18146,18304,20736,42747,42837"
53,33,"15720,42839,1106644,42823,1074002"
54,33,"8669,8817,684,610834,1145923,1145924"
55,33,"18153,7927,8916,9412,20746,198772"
56,33,"20691,20839,42858"
57,33,"18296,20687,24445,42803,198785,8730,42831,627406,1183633"
58,33,"9009,8857,42884,42892"
59,33,"27555,27559,27571"
60,48,"612,625,626,622066,622067,622102,622109,622113,622120,622125,623084,623086,623138,623156,623835,623838,623855,623857,623859,623861,623863,623864,623957,623966,623967,623969,623970,623971,623972,623973,623975,623977,623980,624039,624198,624348,624349,624350,624354,624357,624386,624414,624431,624714,624717,624718,624763,624765,624766,624770,624777,624778,624779,624781,624783,624784,624785,624790,624799,624801,624802,627597,627624,763816,1070553,1184929,1191733,622123,622124,623056,623073,623079,623131,623134,624435,627676,627677,1072218,1072227"
61,48,"623636,623936,624217,624782,627552,627602,622069,623952,624356,624775"
62,48,"622065,623065,624143,624430,627678,627728,624037,624437"
63,48,"623968,624774,624793"
64,48,"624391,627668,1072219,1072221,1072222,1072223,1072224,1072225,1072226"
65,48,"623965,624274,624355,624776,627603,623650,624112,632,633,627675"
66,164,"613,619,620,621651,621676,621678,621755,621780,623211,623481,1072293,621659,622504,622507,622543,622546,622554,622562,622563,622655,623289,623290,623303,623311,623335,623371,1072295,1072297,1072298,1072299,1190872,623201"
67,164,"622502,622530,622537,622544,622561,622875,1079013"
68,164,"621632,621728,1072300,1079076,1106687,1144830,1106731,620667"
69,164,"623413,622887,623194"
70,164,"623398,621688,1072296"
71,164,"1106748,1107293,1107294"
72,50,"629,623485,623491,623555,623623,623687,624275,624277,624842,624844,624914,624942,635283,635285,635288,635315,635354,1077686,1077687,1191989"
73,50,"624904,699587,763813"
74,50,"682,697597,1072275,1072276,1075893,1106611"
